label,source_path,mean_r,std_r,mean_g,std_g,mean_b,std_b,mean_h,mean_s,mean_v,contrast,correlation,energy,homogeneity,asm,dissimilarity,area,perimeter,aspect_ratio,circularity,solidity,extent
cordana,cordana\41_aug.jpeg,80.54946899414062,50.05020453465897,100.42393493652344,44.55601641609967,23.404327392578125,52.15081281644852,37.28501892089844,219.703857421875,103.61857604980467,119.62453608589657,0.9713597175022408,0.0413432392275361,0.2905920517010715,0.0017486483526281,5.268213607747484,5836.0,802.5584355592728,0.3056768558951965,0.1138601677810644,0.5011162630946248,0.3640673736743606
pestalotiopsis,pestalotiopsis\324_aug.jpeg,101.88865661621094,49.9559477765308,103.32894897460938,48.283007230298,65.222900390625,61.61120746653338,33.05525207519531,120.30290222167967,107.7632293701172,23.39723522803885,0.9952593803071216,0.0492086327081115,0.409587678052983,0.0024574447820457,2.600381133458386,6533.0,455.62236392498016,2.7846153846153845,0.395469009573387,0.9215686274509804,0.555291117722057
cordana,cordana\319_aug.jpeg,81.78160095214844,47.40156958422664,100.9202117919922,42.443812271355206,22.31622314453125,49.11672936494042,36.94477844238281,220.7317657470703,104.3975067138672,88.39759092056946,0.9764483183003208,0.0441749208295717,0.3187089505849648,0.0019876222263469,4.600801284362131,5294.5,900.742201924324,0.2946058091286307,0.0820037654448152,0.4291040239899502,0.3094208403950675
healthy,healthy\249_aug.jpeg,79.46548461914062,22.303774857576656,111.2826690673828,14.924070598617678,42.58685302734375,28.16902956388758,43.90333557128906,161.93980407714844,111.54293823242188,17.505853112385637,0.9727402005631672,0.1204425418052997,0.5427912593120526,0.0147107858204594,1.9040836306950124,2051.0,328.3086552619934,0.3009708737864077,0.2391172238250057,0.8487481895303124,0.6423426244910743
sigatoka,sigatoka\468.jpeg,152.80300903320312,32.18964761840803,146.1558837890625,30.21497820631316,130.89447021484375,35.79936558593001,67.21385192871094,51.38937377929688,158.44290161132812,127.81097663759245,0.9275777882504777,0.0201635032691154,0.1810518948376837,0.0004269020720008,7.462760957324026,40209.5,3756.843917965889,1.0,0.035800758856053,0.6480751718524608,0.6135482788085938
cordana,cordana\43_aug.jpeg,165.30056762695312,46.085795364144126,160.08065795898438,35.651989511246896,126.1816864013672,45.10693533071703,26.840789794921875,74.49520874023438,169.2012176513672,23.327669466070965,0.992356559179462,0.0323965199272286,0.3240547331871768,0.0010581354213267,3.029114162822001,58048.5,988.40916121006,1.0,0.7466676606089089,0.9722878247324256,0.8857498168945312
cordana,cordana\298_aug.jpeg,139.5918731689453,29.632441963055875,140.79994201660156,34.02051105915562,98.6741180419922,36.97295920269742,31.6395263671875,90.00607299804688,145.90025329589844,51.65562713259367,0.9751331198940412,0.0308333870550926,0.250958248131198,0.0009709605110643,4.630363562091486,49537.0,1469.2102377414703,1.0,0.2883843403910636,0.8627133402995472,0.7558746337890625
sigatoka,sigatoka\174_aug.jpeg,155.0232391357422,23.965008851941292,148.34739685058594,22.133522527074703,138.21607971191406,24.941365289463107,65.22898864746094,37.36289978027344,158.3554229736328,45.78530222750907,0.9516645086035366,0.0283677447664255,0.2315067464698457,0.0008428230115341,4.762725934736621,17623.5,2457.197168111801,1.391304347826087,0.0366793824105542,0.6034308606255671,0.3741402004076087
pestalotiopsis,pestalotiopsis\111.jpeg,116.11712646484376,23.077097152437307,127.45787048339844,18.371363140734896,73.50456237792969,25.96485539641947,35.620086669921875,111.89671325683594,129.0626678466797,27.736833594652104,0.963513504275724,0.0513252754704638,0.3665854365367442,0.0026609161169454,2.9883447321943915,1575.0,341.0782074928284,0.4024390243902439,0.1701306174998152,0.7300115874855156,0.582039911308204
healthy,healthy\17_aug.jpeg,133.9454345703125,19.98906442137821,143.23605346679688,16.560199507128267,75.87762451171875,18.68273683343862,34.108245849609375,121.61477661132812,143.45660400390625,21.1464129481452,0.9648894525548956,0.0372002647793076,0.3008390124799509,0.0014212924911091,3.260294718377577,23250.5,3802.314040541649,0.78515625,0.0202090637706476,0.5100975197727098,0.4518520677860697
